Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,customer_name_normalizado,city_normalizado,product_name_normalizado
55,CA-2017-105816,11/12/2017,17/12/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,janet molinari,new york city,at&t cl83451 4-handset telephone
68,CA-2015-106376,05/12/2015,10/12/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,brendan sweed,gilbert,"hunt boston model 1606 high-volume electric pencil sharpener, beige"
73,US-2016-134026,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,joel eaton,memphis,high-back leather manager's chair
118,CA-2016-110457,02/03/2016,06/03/2016,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103.0,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,dave kipp,seattle,hon racetrack conference tables
125,US-2015-152030,26/12/2015,28/12/2015,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,alan dominguez,houston,global deluxe high-back manager's chair
126,US-2015-134614,20/09/2015,25/09/2015,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701.0,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,philip fox,bloomington,bevis 44 x 96 conference tables
145,CA-2018-155376,22/12/2018,27/12/2018,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055.0,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,sandra glassco,independence,sanyo 2.5 cubic foot mid-size office refrigerators
146,CA-2016-110744,07/09/2016,12/09/2016,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104.0,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,helen andreada,pasadena,safco industrial wire shelving
150,CA-2017-114489,05/12/2017,09/12/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,justin ellison,franklin,"hon deluxe fabric upholstered stacking chairs, rounded back"
160,CA-2017-114104,20/11/2017,24/11/2017,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034.0,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,nora paige,edmond,avaya 5420 digital phone
166,CA-2015-139892,08/09/2015,12/09/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,becky martin,san antonio,lexmark mx611dhe monochrome laser printer
168,CA-2015-139892,08/09/2015,12/09/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,becky martin,san antonio,safco arco folding chair
183,CA-2015-158274,19/11/2015,24/11/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203.0,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96,robert marley,monroe,at&t tr1909w
190,CA-2016-102281,12/10/2016,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,mark packer,new york city,"atlantic metals mobile 4-shelf bookcases, custom colors"
193,CA-2016-102281,12/10/2016,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,mark packer,new york city,"atlantic metals mobile 3-shelf bookcases, custom colors"
216,CA-2016-146262,02/01/2016,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0,victoria wilson,medina,cisco 9971 ip video phone charcoal
227,CA-2016-163055,09/08/2016,16/08/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227.0,Central,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.45,david smith,detroit,bevis 36 x 72 conference tables
233,US-2018-100930,07/04/2018,12/04/2018,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145,christopher schild,tampa,bretford rectangular conference table tops
236,US-2018-100930,07/04/2018,12/04/2018,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976,christopher schild,tampa,logitech p710e mobile speakerphone
245,CA-2015-131926,01/06/2015,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,dianna wilson,lakeville,global deluxe high-back manager's chair
248,CA-2015-131926,01/06/2015,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,dianna wilson,lakeville,honeywell enviracaire portable hepa air cleaner for 17' x 22' room
252,CA-2017-145625,11/09/2017,17/09/2017,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037.0,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37,kelly collister,san diego,logitech p710e mobile speakerphone
258,US-2016-159982,28/11/2016,04/12/2016,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623.0,Central,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904,dan reichenbach,chicago,logitech mobile speakerphone p710e - speaker phone
263,US-2015-106992,19/09/2015,21/09/2015,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036.0,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,sean braxton,houston,lexmark mx611dhe monochrome laser printer
264,US-2015-106992,19/09/2015,21/09/2015,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036.0,Central,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,sean braxton,houston,xerox workcentre 6505dn laser multifunction printer
271,CA-2018-163979,28/12/2018,02/01/2019,Second Class,KH-16690,Kristen Hastings,Corporate,United States,San Francisco,California,94110.0,West,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84,kristen hastings,san francisco,adjustable depth letter/legal cart
282,US-2016-161991,26/09/2016,28/09/2016,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,77070.0,Central,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,1114.4,steven cartwright,houston,bose soundlink bluetooth speaker
283,CA-2016-130890,02/11/2016,06/11/2016,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,jas o'carroll,los angeles,"bevis round bullnose 29"" high table top"
289,CA-2017-112697,18/12/2017,20/12/2017,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,South,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,alan haines,tamarac,premier automatic letter opener
300,CA-2017-142545,28/10/2017,03/11/2017,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109.0,East,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1082.48,jonathan doherty,belleville,"tennsco stur-d-stor boltless shelving, 5 shelves, 24"" deep, sand"
319,CA-2015-164973,04/11/2015,09/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,nathan mautz,new york city,canon imageclass mf7460 monochrome digital laser multifunction copier
329,US-2017-141544,30/08/2017,01/09/2017,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,786.744,patrick o'brill,philadelphia,hon 2090 “pillow soft” series mid back swivel/tilt chairs
336,CA-2016-137946,01/09/2016,04/09/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,doug bickford,los angeles,hewlett packard laserjet 3310 copier
339,CA-2015-129924,12/07/2015,17/07/2015,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122.0,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,698.352,alyssa crouse,san francisco,hon 5100 series wood tables
342,CA-2015-122336,13/04/2015,17/04/2015,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,509.97,jonathan doherty,philadelphia,fellowes pb200 plastic comb binding machine
354,CA-2017-129714,01/09/2017,03/09/2017,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009.0,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168,adam bellavance,new york city,gbc docubind p400 electric binding system
360,CA-2018-155698,08/03/2018,11/03/2018,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907.0,South,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,victoria brennan,columbus,belkin 8 outlet surgemaster ii gold surge protector with phone protection
370,CA-2017-155516,21/10/2017,21/10/2017,Same Day,MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040.0,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,michael kennedy,manchester,"atlantic metals mobile 3-shelf bookcases, custom colors"
374,US-2015-119137,23/07/2015,27/07/2015,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936,arthur gainer,tucson,netgear ac1750 dual band gigabit smart wifi router
378,US-2018-134481,27/08/2018,01/09/2018,Standard Class,AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038.0,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,allen rosenblatt,franklin,"office impressions end table, 20-1/2""h x 24""w x 20""d"
393,US-2015-135972,21/09/2015,23/09/2015,Second Class,JG-15115,Jack Garza,Consumer,United States,Des Moines,Washington,98198.0,West,TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,1799.97,jack garza,des moines,canon pc1080f personal copier
400,CA-2017-108987,08/09/2017,10/09/2017,Second Class,AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036.0,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,anna gayman,houston,"riverside palais royal lawyers bookcase, royale cherry finish"
407,CA-2018-117457,08/12/2018,12/12/2018,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,keith herrera,san francisco,sharp al-1530cs digital copier
409,CA-2018-117457,08/12/2018,12/12/2018,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,keith herrera,san francisco,"bevis round conference table top, x-base"
413,CA-2018-117457,08/12/2018,12/12/2018,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,keith herrera,san francisco,o'sullivan 4-shelf bookcase in odessa pine
425,CA-2018-155705,21/08/2018,23/08/2018,Second Class,NF-18385,Natalie Fritzler,Consumer,United States,Jackson,Mississippi,39212.0,South,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,natalie fritzler,jackson,hon multipurpose stacking arm chairs
434,CA-2017-127369,06/06/2017,07/06/2017,First Class,DB-13060,Dave Brooks,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,714.3,dave brooks,lowell,letter size cart
437,CA-2017-147375,12/06/2017,14/06/2017,Second Class,PO-19180,Philisse Overcash,Home Office,United States,Chicago,Illinois,60623.0,Central,TEC-MA-10002937,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979,philisse overcash,chicago,"canon color imageclass mf8580cdw wireless laser all-in-one printer, copier, scanner"
455,CA-2018-147277,20/10/2018,24/10/2018,Standard Class,EB-13705,Ed Braxton,Corporate,United States,Akron,Ohio,44312.0,East,OFF-ST-10000142,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,665.408,ed braxton,akron,deluxe rollaway locking file with drawer
458,US-2017-157945,26/09/2017,01/10/2017,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Decatur,Illinois,62521.0,Central,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,747.558,natalie fritzler,decatur,hon 4700 series mobuis mid-back task chairs with adjustable arms
461,CA-2016-109638,15/12/2016,22/12/2016,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Seattle,Washington,98115.0,West,TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,899.91,joseph holt,seattle,logitech g700s rechargeable gaming mouse
464,CA-2017-109869,22/04/2017,29/04/2017,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023.0,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,tanja norvell,phoenix,bush advantage collection racetrack conference table
474,CA-2015-144666,09/11/2015,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,703.968,jeremy pistek,san francisco,samsung galaxy note 3
481,CA-2017-100790,26/06/2017,02/07/2017,Standard Class,JG-15805,John Grady,Corporate,United States,New York City,New York,10024.0,East,OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.25,john grady,new york city,"fellowes strictly business drawer file, letter/legal size"
486,CA-2018-140963,10/06/2018,13/06/2018,First Class,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045.0,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165,michelle tran,los angeles,o'sullivan living dimensions 2-shelf bookcases
488,CA-2015-154627,29/10/2015,31/10/2015,First Class,SA-20830,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,sue ann reed,chicago,apple iphone 5s
503,US-2017-105578,30/05/2017,04/06/2017,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134.0,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568,maribeth yedwab,parker,global troy executive leather low-back tilter
510,CA-2016-145352,16/03/2016,22/03/2016,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,christopher martinez,atlanta,fellowes pb500 electric punch plastic comb binding machine with manual bind
516,CA-2018-127432,22/01/2018,27/01/2018,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95,alan dominguez,great falls,canon image class d660 copier
519,CA-2018-127432,22/01/2018,27/01/2018,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,alan dominguez,great falls,tennsco single-tier lockers
527,CA-2018-113558,21/10/2018,26/10/2018,Standard Class,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,Florida,33801.0,South,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,683.952,patricia hirasaki,lakeland,global commerce series high-back swivel/tilt chairs
530,US-2016-138303,03/09/2016,07/09/2016,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,666.248,mike gockenbach,philadelphia,martin yale chadless opener electric letter opener
534,CA-2017-168753,29/05/2017,01/06/2017,Second Class,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116.0,South,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,979.95,rob lucas,montgomery,panasonic kx-tg9471b
543,US-2016-120161,18/12/2016,23/12/2016,Standard Class,LM-17065,Liz MacKendrick,Consumer,United States,Springfield,Ohio,45503.0,East,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,646.776,liz mackendrick,springfield,fellowes officeware wire shelving
552,CA-2017-136406,15/04/2017,17/04/2017,Second Class,BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110.0,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.568,bill donatelli,san francisco,hon 5400 series task chairs for big and tall
555,CA-2018-100650,29/06/2018,03/07/2018,Second Class,DK-13225,Dean Katz,Corporate,United States,Anaheim,California,92804.0,West,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78,dean katz,anaheim,tennsco 16-compartment lockers with coat rack
558,CA-2017-113243,10/06/2017,15/06/2017,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045.0,West,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1335.68,olvera toch,los angeles,bretford “just in time” height-adjustable multi-task work tables
596,CA-2015-131450,08/08/2015,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,lena radford,san diego,sharp al-1530cs digital copier
614,CA-2017-121223,11/09/2017,13/09/2017,Second Class,GD-14590,Giulietta Dortch,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,728.946,giulietta dortch,philadelphia,cisco 8x8 inc. 6753i ip business phone system
624,CA-2016-138009,29/11/2016,03/12/2016,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,Dearborn,Michigan,48126.0,Central,OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,555.21,sylvia foulston,dearborn,honeywell enviracaire portable hepa air cleaner for up to 10 x 16 room
625,CA-2016-138009,29/11/2016,03/12/2016,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,Dearborn,Michigan,48126.0,Central,OFF-ST-10001272,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",523.48,sylvia foulston,dearborn,"mini 13-1/2 capacity data binder rack, pearl"
639,CA-2017-115917,20/05/2017,25/05/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591.0,West,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,rick bensley,vallejo,luxo professional fluorescent magnifier lamp with clamp-mount base
658,US-2017-156097,19/09/2017,19/09/2017,Same Day,EH-14125,Eugene Hildebrand,Home Office,United States,Aurora,Illinois,60505.0,Central,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,701.372,eugene hildebrand,aurora,global troy executive leather low-back tilter
660,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",999.432,cassandra brandow,arlington,"hot file 7-pocket, floor stand"
661,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,724.08,cassandra brandow,arlington,space solutions commercial steel shelving
662,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,918.785,cassandra brandow,arlington,hon racetrack conference tables
684,US-2018-168116,04/11/2018,04/11/2018,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217.0,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,grant thornton,burlington,cubify cubex 3d printer triple head print
709,CA-2015-112158,02/12/2015,04/12/2015,First Class,DP-13165,David Philippe,Consumer,United States,New York City,New York,10035.0,East,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,883.92,david philippe,new york city,o'sullivan living dimensions 5-shelf bookcases
722,CA-2017-142335,15/12/2017,19/12/2017,Standard Class,MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205.0,Central,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1652.94,michael paige,detroit,chromcraft bull-nose wood oval conference tables & bases
731,US-2017-150861,03/12/2017,06/12/2017,First Class,EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,11572.0,East,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",542.646,emily grady,oceanside,"global leather highback executive chair with pneumatic height adjustment, black"
747,CA-2015-124429,27/05/2015,27/05/2015,Same Day,MH-17785,Maya Herman,Corporate,United States,San Diego,California,92105.0,West,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,567.12,maya herman,san diego,ki conference tables
754,CA-2017-110499,07/04/2017,09/04/2017,First Class,YC-21895,Yoseph Carroll,Corporate,United States,San Francisco,California,94110.0,West,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.976,yoseph carroll,san francisco,hewlett packard 610 color digital copier / printer
